Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00    60000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.17     0.00    60000     0.00     0.00  std::_List_node<std::__cxx11::list<int, std::allocator<int> > >::_M_valptr()
  0.00      0.17     0.00    60000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.17     0.00    60000     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.17     0.00    60000     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.00      0.17     0.00    60000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.17     0.00    60000     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.17     0.00    60000     0.00     0.00  std::operator!=(std::_List_const_iterator<int> const&, std::_List_const_iterator<int> const&)
  0.00      0.17     0.00    40001     0.00     0.00  std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.17     0.00    40000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.17     0.00    40000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.17     0.00    40000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.17     0.00    40000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.17     0.00    40000     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.17     0.00    40000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.17     0.00    40000     0.00     0.00  std::__cxx11::_List_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_get_Node_allocator()
  0.00      0.17     0.00    40000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.17     0.00    40000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.17     0.00    30157     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.17     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<std::__cxx11::list<int, std::allocator<int> > >::_M_ptr() const
  0.00      0.17     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<std::__cxx11::list<int, std::allocator<int> > >::_M_addr() const
  0.00      0.17     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      0.17     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
